"experiment","n","k","rep","method","time","detected"
"vary_n",256,0,1,"PELT",0.005,27
"vary_n",256,0,1,"SVP Wilcoxon",0,18
"vary_n",256,0,1,"SVP MedianMood",0.00700000000000001,2
"vary_n",256,0,1,"SVP BIC multiscale",0,29
"vary_n",256,0,2,"PELT",0.001,27
"vary_n",256,0,2,"SVP Wilcoxon",0,18
"vary_n",256,0,2,"SVP MedianMood",0.001,1
"vary_n",256,0,2,"SVP BIC multiscale",0.001,31
"vary_n",256,0,3,"PELT",0.001,29
"vary_n",256,0,3,"SVP Wilcoxon",0,19
"vary_n",256,0,3,"SVP MedianMood",0,1
"vary_n",256,0,3,"SVP BIC multiscale",0,36
"vary_n",256,0,4,"PELT",0.001,16
"vary_n",256,0,4,"SVP Wilcoxon",0,20
"vary_n",256,0,4,"SVP MedianMood",0,1
"vary_n",256,0,4,"SVP BIC multiscale",0.00100000000000011,19
"vary_n",256,0,5,"PELT",0.00099999999999989,17
"vary_n",256,0,5,"SVP Wilcoxon",0,18
"vary_n",256,0,5,"SVP MedianMood",0,1
"vary_n",256,0,5,"SVP BIC multiscale",0.00100000000000011,26
"vary_n",256,0,6,"PELT",0.00100000000000011,32
"vary_n",256,0,6,"SVP Wilcoxon",0,20
"vary_n",256,0,6,"SVP MedianMood",0,1
"vary_n",256,0,6,"SVP BIC multiscale",0,42
"vary_n",256,0,7,"PELT",0.00100000000000011,24
"vary_n",256,0,7,"SVP Wilcoxon",0,19
"vary_n",256,0,7,"SVP MedianMood",0.0109999999999999,2
"vary_n",256,0,7,"SVP BIC multiscale",0.00099999999999989,26
"vary_n",256,0,8,"PELT",0.00100000000000011,19
"vary_n",256,0,8,"SVP Wilcoxon",0,20
"vary_n",256,0,8,"SVP MedianMood",0.00099999999999989,1
"vary_n",256,0,8,"SVP BIC multiscale",0,25
"vary_n",256,0,9,"PELT",0.00100000000000011,19
"vary_n",256,0,9,"SVP Wilcoxon",0,19
"vary_n",256,0,9,"SVP MedianMood",0.00100000000000011,1
"vary_n",256,0,9,"SVP BIC multiscale",0,23
"vary_n",256,0,10,"PELT",0.00100000000000011,35
"vary_n",256,0,10,"SVP Wilcoxon",0,19
"vary_n",256,0,10,"SVP MedianMood",0.0109999999999999,2
"vary_n",256,0,10,"SVP BIC multiscale",0,39
"vary_n",290,0,1,"PELT",0,18
"vary_n",290,0,1,"SVP Wilcoxon",0,21
"vary_n",290,0,1,"SVP MedianMood",0,1
"vary_n",290,0,1,"SVP BIC multiscale",0.00099999999999989,20
"vary_n",290,0,2,"PELT",0,21
"vary_n",290,0,2,"SVP Wilcoxon",0.00099999999999989,21
"vary_n",290,0,2,"SVP MedianMood",0,1
"vary_n",290,0,2,"SVP BIC multiscale",0,29
"vary_n",290,0,3,"PELT",0.00099999999999989,29
"vary_n",290,0,3,"SVP Wilcoxon",0.00099999999999989,24
"vary_n",290,0,3,"SVP MedianMood",0.00800000000000001,2
"vary_n",290,0,3,"SVP BIC multiscale",0,32
"vary_n",290,0,4,"PELT",0,30
"vary_n",290,0,4,"SVP Wilcoxon",0,22
"vary_n",290,0,4,"SVP MedianMood",0,1
"vary_n",290,0,4,"SVP BIC multiscale",0,34
"vary_n",290,0,5,"PELT",0,41
"vary_n",290,0,5,"SVP Wilcoxon",0,21
