"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments","LocalizationError"
"none",0.1,1,"PELT",1,1,1,1,0.004271301932085,1,NA
"none",0.1,1,"SVP BIC calibrated",1,1,1,1,0.004271301932085,1,NA
"none",0.1,1,"SVP BIC",1,1,1,1,0.004271301932085,1,NA
"up",0.1,1,"PELT",0.5,0.125,0.2,0,0.0378542035837558,2,NA
"up",0.1,1,"SVP BIC calibrated",0.5,0.125,0.2,0,0.0378542035837558,2,NA
"up",0.1,1,"SVP BIC",0.5,0.125,0.2,0,0.0378542035837558,2,NA
"updown",0.1,1,"PELT",1,0.125,0.222222222222222,0,0.00257291402625161,1,NA
"updown",0.1,1,"SVP BIC calibrated",1,0.125,0.222222222222222,0,0.00257291402625161,1,NA
"updown",0.1,1,"SVP BIC",1,0.125,0.222222222222222,0,0.00257291402625161,1,NA
"rand1",0.1,1,"PELT",1,0.125,0.222222222222222,0,0.00600735399403354,1,NA
"rand1",0.1,1,"SVP BIC calibrated",1,0.125,0.222222222222222,0,0.00600735399403354,1,NA
"rand1",0.1,1,"SVP BIC",1,0.125,0.222222222222222,0,0.00600735399403354,1,NA
"none",0.2,1,"PELT",1,1,1,1,0.00165011546686708,1,NA
"none",0.2,1,"SVP BIC calibrated",1,1,1,1,0.00165011546686708,1,NA
"none",0.2,1,"SVP BIC",1,1,1,1,0.00165011546686708,1,NA
"up",0.2,1,"PELT",0.25,0.125,0.166666666666667,0,0.0326980562302224,4,NA
"up",0.2,1,"SVP BIC calibrated",0.333333333333333,0.125,0.181818181818182,0,0.0403404896318359,3,NA
"up",0.2,1,"SVP BIC",0.333333333333333,0.125,0.181818181818182,0,0.0403404896318359,3,NA
"updown",0.2,1,"PELT",1,0.125,0.222222222222222,0,0.0100605460562944,1,NA
"updown",0.2,1,"SVP BIC calibrated",1,0.125,0.222222222222222,0,0.0100605460562944,1,NA
"updown",0.2,1,"SVP BIC",1,0.125,0.222222222222222,0,0.0100605460562944,1,NA
"rand1",0.2,1,"PELT",1,0.125,0.222222222222222,0,0.0232609473124236,1,NA
"rand1",0.2,1,"SVP BIC calibrated",1,0.125,0.222222222222222,0,0.0232609473124236,1,NA
"rand1",0.2,1,"SVP BIC",1,0.125,0.222222222222222,0,0.0232609473124236,1,NA
"none",0.3,1,"PELT",1,1,1,1,0.000170637891703299,1,NA
"none",0.3,1,"SVP BIC calibrated",1,1,1,1,0.000170637891703299,1,NA
"none",0.3,1,"SVP BIC",1,1,1,1,0.000170637891703299,1,NA
"up",0.3,1,"PELT",0.25,0.125,0.166666666666667,0,0.0501498568054447,4,NA
"up",0.3,1,"SVP BIC calibrated",0.25,0.125,0.166666666666667,0,0.0501498568054447,4,NA
"up",0.3,1,"SVP BIC",0.25,0.125,0.166666666666667,0,0.0501498568054447,4,NA
"updown",0.3,1,"PELT",1,0.125,0.222222222222222,0,0.0226925422685604,1,NA
"updown",0.3,1,"SVP BIC calibrated",1,0.125,0.222222222222222,0,0.0226925422685604,1,NA
"updown",0.3,1,"SVP BIC",1,0.125,0.222222222222222,0,0.0226925422685604,1,NA
"rand1",0.3,1,"PELT",0.4,0.25,0.307692307692308,0,0.0585721583854753,5,NA
"rand1",0.3,1,"SVP BIC calibrated",0.666666666666667,0.25,0.363636363636364,0,0.0479207459920692,3,NA
"rand1",0.3,1,"SVP BIC",0.333333333333333,0.125,0.181818181818182,0,0.0732134591930909,3,NA
"none",0.4,1,"PELT",1,1,1,1,0.000535300708285632,1,NA
